Age,Is_Senior,Marital_Status,Married_Premium_Discount,Prior_Insurance,Prior_Insurance_Premium_Adjustment,Claims_Frequency,Claims_Severity,Claims_Adjustment,Policy_Type,Policy_Adjustment,Premium_Amount,Safe_Driver_Discount,Multi_Policy_Discount,Bundling_Discount,Total_Discounts,Source_of_Lead,Time_Since_First_Contact,Conversion_Status,Website_Visits,Inquiries,Quotes_Requested,Time_to_Conversion,Credit_Score,Premium_Adjustment_Credit,Region,Premium_Adjustment_Region
49,0,Single,0,1-5 years,50,0,Medium,0,Liability-Only,-200,2000,0,0,0,0,Agent,4,0,4,2,2,99,736,-50,Suburban,50
34,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,5,1,4,0,1,14,673,50,Suburban,50
45,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,17,1,4,1,1,9,729,-50,Urban,100
39,0,Divorced,0,<1 year,100,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,5,1,11,2,3,13,716,-50,Suburban,50
56,1,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2286,0,0,0,0,Agent,18,1,3,5,1,8,697,50,Rural,0
39,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2436,0,0,0,0,Online,8,0,4,0,2,99,657,50,Suburban,50
18,0,Single,0,<1 year,100,1,High,200,Liability-Only,-200,2350,0,1,0,50,Referral,25,0,4,1,3,99,627,50,Urban,100
58,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,1,0,0,50,Online,25,0,6,1,1,99,790,-50,Suburban,50
26,0,Divorced,0,>5 years,0,0,Medium,0,Liability-Only,-200,2000,0,0,0,0,Online,26,0,5,1,1,99,671,50,Rural,0
30,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,1,0,0,50,Online,22,1,7,1,1,9,735,-50,Urban,100
31,0,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Agent,25,1,7,4,2,6,691,50,Suburban,50
60,1,Divorced,0,<1 year,100,0,Low,0,Full Coverage,0,2250,0,0,0,0,Agent,10,0,2,2,3,99,755,-50,Suburban,50
18,0,Married,86,1-5 years,50,2,Low,100,Liability-Only,-200,2186,0,1,0,50,Online,27,0,3,3,3,99,624,50,Rural,0
87,1,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2200,1,0,0,50,Online,28,0,2,3,2,99,799,-50,Urban,100
55,1,Married,86,1-5 years,50,1,Medium,100,Full Coverage,0,2336,0,0,0,0,Online,23,1,4,4,3,5,776,-50,Rural,0
43,0,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2086,1,0,0,50,Online,15,1,5,1,2,14,784,-50,Urban,100
39,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Online,15,1,4,4,2,7,760,-50,Urban,100
44,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Referral,11,1,3,1,1,12,808,-50,Urban,100
47,0,Divorced,0,>5 years,0,1,Low,50,Liability-Only,-200,2100,0,1,0,50,Agent,19,1,6,2,2,11,685,50,Urban,100
49,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,0,1,50,Online,23,0,9,1,1,99,731,-50,Urban,100
48,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2236,0,1,0,50,Online,28,1,5,1,2,14,808,-50,Rural,0
41,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Referral,27,0,5,5,2,99,690,50,Rural,0
37,0,Single,0,>5 years,0,2,Low,100,Full Coverage,0,2250,0,0,0,0,Online,7,0,6,4,3,99,760,-50,Suburban,50
37,0,Married,86,<1 year,100,1,Medium,100,Liability-Only,-200,2136,0,1,0,50,Online,14,1,4,1,1,10,723,-50,Rural,0
37,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2386,0,0,0,0,Online,13,1,7,2,1,4,840,-50,Urban,100
57,1,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,1,0,1,100,Online,12,1,3,1,3,5,696,50,Urban,100
48,0,Single,0,>5 years,0,2,Low,100,Full Coverage,0,2300,0,1,0,50,Online,3,1,4,2,1,2,668,50,Suburban,50
18,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2000,0,0,0,0,Online,16,1,4,7,2,14,749,-50,Suburban,50
49,0,Single,0,1-5 years,50,0,High,0,Full Coverage,0,2250,0,0,0,0,Online,12,0,4,0,3,99,712,-50,Urban,100
42,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,1900,0,1,0,50,Agent,14,0,5,2,3,99,718,-50,Rural,0
39,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,1950,0,0,1,50,Referral,12,1,2,5,2,1,730,-50,Rural,0
34,0,Single,0,1-5 years,50,4,Low,200,Liability-Only,-200,2250,0,0,0,0,Online,4,1,5,3,2,6,746,-50,Urban,100
56,1,Single,0,>5 years,0,1,Low,50,Full Coverage,0,2200,0,0,1,50,Agent,21,0,2,2,3,99,739,-50,Urban,100
54,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2386,1,0,0,50,Agent,7,0,7,0,2,99,620,50,Rural,0
28,0,Divorced,0,1-5 years,50,0,High,0,Liability-Only,-200,2000,1,0,0,50,Online,5,1,4,1,2,12,744,-50,Urban,100
46,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Online,15,1,5,2,2,11,663,50,Urban,100
25,0,Divorced,0,<1 year,100,0,Low,0,Liability-Only,-200,1850,1,1,1,150,Agent,8,1,2,2,1,11,747,-50,Rural,0
19,0,Single,0,1-5 years,50,2,Low,100,Full Coverage,0,2350,0,0,0,0,Referral,10,0,3,3,1,99,712,-50,Urban,100
30,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2136,1,1,0,100,Agent,2,0,8,4,3,99,744,-50,Rural,0
52,0,Single,0,>5 years,0,1,Low,50,Liability-Only,-200,2000,0,0,0,0,Online,21,1,5,2,2,11,762,-50,Suburban,50
54,0,Married,86,1-5 years,50,1,Medium,100,Liability-Only,-200,2236,1,0,0,50,Online,7,0,2,0,2,99,683,50,Suburban,50
47,0,Single,0,1-5 years,50,2,Low,100,Full Coverage,0,2400,0,0,0,0,Agent,28,1,3,3,2,14,664,50,Suburban,50
50,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2236,0,0,0,0,Online,25,1,5,1,1,1,685,50,Urban,100
47,0,Divorced,0,>5 years,0,3,Low,150,Full Coverage,0,2300,0,1,0,50,Agent,2,0,2,0,3,99,768,-50,Urban,100
30,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,15,1,4,5,2,6,710,-50,Urban,100
46,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,0,0,0,Online,24,0,8,1,2,99,733,-50,Suburban,50
52,0,Married,86,>5 years,0,0,Medium,0,Liability-Only,-200,2086,0,0,0,0,Online,10,1,3,3,2,14,781,-50,Urban,100
51,0,Widowed,0,>5 years,0,1,Low,50,Liability-Only,-200,2050,0,0,0,0,Agent,17,1,6,1,2,3,755,-50,Urban,100
57,1,Divorced,0,<1 year,100,1,Low,50,Full Coverage,0,2350,0,0,0,0,Online,22,1,8,1,3,12,734,-50,Urban,100
50,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2050,0,1,0,50,Referral,15,1,4,2,1,5,721,-50,Urban,100
45,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2436,0,1,0,50,Online,16,1,5,3,2,1,663,50,Urban,100
56,1,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2300,0,1,0,50,Agent,1,1,7,3,3,13,687,50,Suburban,50
39,0,Married,86,>5 years,0,2,Low,100,Full Coverage,0,2336,0,0,1,50,Agent,6,0,2,2,1,99,741,-50,Urban,100
26,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2050,1,0,0,50,Agent,26,1,0,2,3,12,732,-50,Urban,100
37,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2036,1,0,0,50,Agent,18,0,3,3,1,99,796,-50,Suburban,50
28,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2350,0,0,0,0,Online,30,1,8,2,2,8,714,-50,Urban,100
29,0,Single,0,>5 years,0,2,Medium,200,Full Coverage,0,2300,0,1,1,100,Online,3,0,4,0,2,99,799,-50,Urban,100
37,0,Married,86,<1 year,100,1,Medium,100,Full Coverage,0,2386,0,1,0,50,Online,30,1,5,2,3,6,716,-50,Suburban,50
28,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2336,1,0,1,100,Online,19,1,4,3,2,5,739,-50,Urban,100
35,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2100,0,1,0,50,Online,12,1,8,3,2,6,726,-50,Rural,0
18,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2086,0,1,0,50,Online,10,0,2,1,3,99,734,-50,Urban,100
43,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2050,0,1,0,50,Online,22,0,5,0,1,99,691,50,Rural,0
40,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,1,0,0,50,Agent,30,1,10,2,1,11,674,50,Rural,0
27,0,Married,86,<1 year,100,1,Low,50,Full Coverage,0,2436,1,0,0,50,Agent,26,0,6,5,2,99,675,50,Suburban,50
49,0,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2436,0,0,0,0,Agent,4,1,9,3,2,4,674,50,Urban,100
54,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2100,1,0,0,50,Online,24,1,5,0,3,4,651,50,Urban,100
18,0,Married,86,<1 year,100,0,Low,0,Full Coverage,0,2286,0,0,0,0,Online,6,1,3,4,3,7,829,-50,Rural,0
28,0,Divorced,0,1-5 years,50,1,High,200,Full Coverage,0,2400,0,0,0,0,Online,4,1,4,3,1,10,708,-50,Suburban,50
28,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2150,0,1,0,50,Agent,1,0,7,1,2,99,667,50,Urban,100
25,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2136,0,0,0,0,Online,10,0,4,1,3,99,745,-50,Suburban,50
52,0,Single,0,<1 year,100,1,Low,50,Full Coverage,0,2350,0,0,0,0,Online,6,1,5,2,3,4,740,-50,Urban,100
37,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,0,1,0,50,Online,26,0,5,3,2,99,689,50,Urban,100
36,0,Single,0,1-5 years,50,0,Medium,0,Liability-Only,-200,2100,0,1,0,50,Agent,16,0,7,2,3,99,654,50,Urban,100
18,0,Married,86,1-5 years,50,2,Low,100,Full Coverage,0,2386,0,1,0,50,Online,24,0,9,0,2,99,698,50,Rural,0
49,0,Married,86,<1 year,100,0,Medium,0,Liability-Only,-200,2086,0,0,0,0,Online,9,0,6,1,1,99,788,-50,Rural,0
21,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,24,0,9,3,1,99,752,-50,Urban,100
40,0,Widowed,0,>5 years,0,0,Low,0,Liability-Only,-200,2050,1,0,0,50,Online,9,1,5,0,1,5,623,50,Urban,100
44,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Agent,25,0,10,3,2,99,670,50,Suburban,50
60,1,Divorced,0,<1 year,100,0,Medium,0,Full Coverage,0,2300,0,0,0,0,Online,12,0,3,1,1,99,652,50,Rural,0
20,0,Married,86,<1 year,100,0,Low,0,Liability-Only,-200,2136,0,1,0,50,Agent,23,1,5,0,3,6,724,-50,Urban,100
18,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2050,0,0,0,0,Agent,22,0,4,0,2,99,764,-50,Urban,100
42,0,Single,0,>5 years,0,2,Low,100,Full Coverage,0,2400,0,0,0,0,Online,3,0,3,3,1,99,685,50,Urban,100
67,1,Married,86,>5 years,0,1,Medium,100,Full Coverage,0,2386,0,0,0,0,Online,10,1,3,3,1,6,728,-50,Urban,100
58,1,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,0,0,0,0,Online,15,1,5,1,3,4,815,-50,Rural,0
43,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Referral,3,0,6,3,2,99,745,-50,Urban,100
32,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Online,22,0,8,1,3,99,737,-50,Urban,100
52,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2286,0,0,0,0,Online,14,1,3,1,3,8,801,-50,Suburban,50
25,0,Single,0,<1 year,100,1,Low,50,Liability-Only,-200,2150,0,0,0,0,Agent,25,0,9,1,3,99,759,-50,Urban,100
47,0,Widowed,0,<1 year,100,1,Low,50,Liability-Only,-200,2150,0,0,0,0,Online,27,1,4,0,1,9,766,-50,Urban,100
47,0,Married,86,<1 year,100,0,Medium,0,Liability-Only,-200,2086,0,0,0,0,Agent,22,1,6,5,2,4,737,-50,Rural,0
55,1,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,0,0,0,Agent,15,1,5,1,1,8,758,-50,Suburban,50
81,1,Single,0,1-5 years,50,1,Medium,100,Full Coverage,0,2400,1,0,0,50,Referral,30,0,9,1,2,99,666,50,Urban,100
45,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,14,1,7,2,3,4,733,-50,Urban,100
32,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2200,1,0,0,50,Online,8,0,3,3,2,99,674,50,Suburban,50
39,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,1,0,50,Referral,8,1,7,1,1,6,763,-50,Urban,100
18,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2236,1,0,0,50,Referral,5,0,6,4,1,99,744,-50,Suburban,50
29,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2336,1,0,0,50,Online,5,1,9,1,2,5,677,50,Urban,100
33,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Online,3,0,4,3,3,99,706,-50,Urban,100
32,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2486,0,0,0,0,Online,1,1,3,1,2,7,673,50,Urban,100
42,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,0,0,0,Agent,12,1,4,1,1,6,768,-50,Suburban,50
27,0,Single,0,<1 year,100,0,Medium,0,Liability-Only,-200,2200,0,0,0,0,Agent,21,1,4,1,3,10,700,50,Urban,100
56,1,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Online,11,1,3,1,1,14,634,50,Rural,0
40,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2100,0,1,0,50,Online,29,0,3,1,3,99,699,50,Urban,100
39,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,0,1,0,50,Online,30,0,4,3,2,99,651,50,Urban,100
35,0,Widowed,0,1-5 years,50,0,Low,0,Liability-Only,-200,1900,0,1,0,50,Online,10,0,8,3,3,99,702,-50,Rural,0
42,0,Divorced,0,1-5 years,50,1,Medium,100,Full Coverage,0,2400,0,1,0,50,Online,12,1,3,1,3,7,622,50,Urban,100
52,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2086,0,1,0,50,Online,9,1,7,2,3,8,683,50,Rural,0
26,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2036,0,1,0,50,Online,10,1,4,2,1,2,718,-50,Urban,100
30,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,1950,0,0,0,0,Online,25,1,4,3,1,3,713,-50,Rural,0
35,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Online,26,0,11,2,1,99,635,50,Rural,0
19,0,Married,86,1-5 years,50,0,Medium,0,Liability-Only,-200,2186,0,0,1,50,Agent,13,0,6,4,3,99,678,50,Urban,100
27,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2236,0,1,0,50,Agent,30,0,6,2,1,99,693,50,Rural,0
32,0,Widowed,0,>5 years,0,0,Medium,0,Liability-Only,-200,2000,0,0,0,0,Agent,9,1,4,2,2,13,767,-50,Urban,100
53,0,Divorced,0,>5 years,0,2,Low,100,Full Coverage,0,2350,0,0,0,0,Agent,1,0,3,3,1,99,639,50,Suburban,50
43,0,Single,0,<1 year,100,0,Low,0,Full Coverage,0,2250,1,0,0,50,Agent,24,1,6,1,1,1,690,50,Rural,0
42,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2100,1,1,0,100,Online,12,1,8,3,1,4,660,50,Urban,100
52,0,Widowed,0,<1 year,100,0,Low,0,Full Coverage,0,2150,1,1,0,100,Online,24,1,1,0,2,14,785,-50,Suburban,50
37,0,Widowed,0,<1 year,100,1,Low,50,Full Coverage,0,2250,0,0,1,50,Referral,26,1,10,1,3,1,716,-50,Suburban,50
45,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2100,0,0,1,50,Online,23,0,7,2,3,99,796,-50,Rural,0
38,0,Married,86,>5 years,0,0,Medium,0,Liability-Only,-200,2036,0,1,0,50,Online,25,1,9,1,1,1,665,50,Rural,0
43,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2286,1,0,0,50,Online,29,0,5,2,3,99,818,-50,Suburban,50
31,0,Single,0,>5 years,0,0,Medium,0,Full Coverage,0,2200,0,0,0,0,Agent,1,1,7,2,1,11,701,-50,Urban,100
18,0,Single,0,<1 year,100,1,Low,50,Liability-Only,-200,2050,1,1,0,100,Online,18,1,5,0,2,1,738,-50,Urban,100
37,0,Married,86,>5 years,0,0,High,0,Liability-Only,-200,2086,0,0,0,0,Online,9,1,4,3,2,13,664,50,Rural,0
61,1,Married,86,<1 year,100,0,High,0,Liability-Only,-200,2136,1,0,0,50,Agent,12,0,4,2,3,99,707,-50,Urban,100
53,0,Divorced,0,>5 years,0,1,Low,50,Liability-Only,-200,2050,0,0,0,0,Referral,12,0,5,6,2,99,706,-50,Urban,100
54,0,Divorced,0,<1 year,100,0,High,0,Liability-Only,-200,2050,0,0,0,0,Online,24,0,5,0,2,99,802,-50,Suburban,50
58,1,Married,86,>5 years,0,1,Medium,100,Liability-Only,-200,2136,0,1,0,50,Online,30,1,4,3,1,11,814,-50,Urban,100
41,0,Divorced,0,1-5 years,50,1,Low,50,Liability-Only,-200,2100,0,0,0,0,Referral,26,1,4,0,1,11,754,-50,Urban,100
42,0,Single,0,1-5 years,50,0,High,0,Liability-Only,-200,2050,0,0,0,0,Online,4,0,3,0,3,99,743,-50,Urban,100
30,0,Divorced,0,1-5 years,50,0,Low,0,Liability-Only,-200,2000,1,0,0,50,Online,4,1,4,2,1,2,769,-50,Urban,100
35,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2336,1,0,0,50,Online,13,1,4,1,3,9,619,50,Rural,0
49,0,Married,86,1-5 years,50,1,Low,50,Full Coverage,0,2336,0,0,0,0,Online,22,1,3,3,2,3,785,-50,Suburban,50
58,1,Married,86,>5 years,0,1,Low,50,Liability-Only,-200,2086,0,0,0,0,Online,14,1,0,1,1,7,749,-50,Suburban,50
37,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2136,0,0,0,0,Agent,5,0,5,1,1,99,726,-50,Urban,100
33,0,Single,0,>5 years,0,2,High,400,Liability-Only,-200,2300,1,1,0,100,Online,24,0,1,1,3,99,728,-50,Urban,100
40,0,Married,86,<1 year,100,1,High,200,Full Coverage,0,2536,0,1,0,50,Online,7,1,7,3,2,2,757,-50,Urban,100
49,0,Widowed,0,1-5 years,50,0,Medium,0,Full Coverage,0,2150,0,0,0,0,Online,26,1,2,3,3,10,740,-50,Rural,0
18,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,0,0,0,Referral,30,0,5,3,1,99,718,-50,Urban,100
18,0,Married,86,<1 year,100,2,High,400,Full Coverage,0,2686,0,0,0,0,Online,24,1,6,2,2,10,721,-50,Rural,0
31,0,Single,0,1-5 years,50,1,Low,50,Liability-Only,-200,2000,0,0,0,0,Online,2,1,4,4,3,12,716,-50,Rural,0
21,0,Single,0,1-5 years,50,0,High,0,Liability-Only,-200,1900,0,1,0,50,Online,6,1,3,3,1,14,739,-50,Rural,0
32,0,Married,86,1-5 years,50,2,Low,100,Liability-Only,-200,2236,1,1,0,100,Agent,23,0,3,1,1,99,677,50,Urban,100
37,0,Single,0,1-5 years,50,0,Medium,0,Liability-Only,-200,2000,0,0,1,50,Agent,26,1,3,3,3,3,759,-50,Urban,100
33,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Agent,17,0,6,3,1,99,689,50,Urban,100
61,1,Single,0,1-5 years,50,0,High,0,Full Coverage,0,2100,1,0,1,100,Referral,13,1,7,1,1,1,705,-50,Suburban,50
44,0,Single,0,1-5 years,50,0,Medium,0,Full Coverage,0,2300,0,1,0,50,Online,13,1,2,0,3,12,696,50,Urban,100
44,0,Married,86,<1 year,100,0,Medium,0,Full Coverage,0,2236,0,1,0,50,Online,29,0,5,2,2,99,739,-50,Rural,0
49,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2300,0,0,0,0,Referral,18,1,2,3,1,9,658,50,Urban,100
22,0,Divorced,0,<1 year,100,1,Medium,100,Full Coverage,0,2300,1,1,0,100,Online,26,0,4,2,1,99,707,-50,Urban,100
55,1,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2136,0,0,1,50,Online,7,1,5,2,1,10,729,-50,Rural,0
38,0,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2236,0,0,0,0,Online,22,1,4,0,2,2,812,-50,Urban,100
50,0,Widowed,0,<1 year,100,1,Low,50,Full Coverage,0,2450,0,0,0,0,Online,20,1,6,1,1,10,661,50,Urban,100
23,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2386,1,0,0,50,Online,4,0,6,2,2,99,657,50,Urban,100
18,0,Married,86,1-5 years,50,0,Medium,0,Full Coverage,0,2336,0,1,0,50,Referral,3,0,8,1,3,99,624,50,Suburban,50
52,0,Widowed,0,1-5 years,50,0,Low,0,Full Coverage,0,2200,0,0,0,0,Online,5,0,1,3,2,99,803,-50,Suburban,50
45,0,Married,86,1-5 years,50,0,High,0,Liability-Only,-200,2236,0,0,0,0,Online,28,1,5,3,3,10,670,50,Urban,100
26,0,Married,86,1-5 years,50,0,Low,0,Full Coverage,0,2336,0,0,0,0,Referral,28,1,8,0,1,5,658,50,Rural,0
26,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,0,0,Online,21,0,2,2,1,99,634,50,Suburban,50
56,1,Divorced,0,1-5 years,50,0,High,0,Full Coverage,0,2100,0,1,0,50,Agent,9,0,8,1,1,99,749,-50,Rural,0
22,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2036,1,1,0,100,Online,10,1,4,3,3,8,800,-50,Urban,100
64,1,Single,0,>5 years,0,3,Low,150,Full Coverage,0,2350,0,0,0,0,Agent,25,1,3,2,2,7,802,-50,Urban,100
26,0,Divorced,0,>5 years,0,0,Medium,0,Liability-Only,-200,2000,0,0,0,0,Referral,23,1,6,2,1,13,817,-50,Urban,100
49,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2100,0,1,1,100,Online,8,1,8,1,3,3,752,-50,Suburban,50
35,0,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2286,0,1,0,50,Online,1,1,9,1,1,5,696,50,Rural,0
49,0,Married,86,>5 years,0,0,Medium,0,Full Coverage,0,2186,1,0,0,50,Referral,8,0,5,1,3,99,728,-50,Suburban,50
31,0,Married,86,1-5 years,50,0,High,0,Full Coverage,0,2386,0,0,0,0,Agent,11,0,7,0,1,99,645,50,Suburban,50
37,0,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2150,0,0,0,0,Online,5,1,5,1,2,14,713,-50,Rural,0
40,0,Divorced,0,>5 years,0,0,Low,0,Full Coverage,0,2150,0,0,1,50,Online,9,1,4,0,1,2,651,50,Rural,0
24,0,Widowed,0,<1 year,100,2,Low,100,Full Coverage,0,2300,0,0,0,0,Online,17,1,3,2,3,12,747,-50,Rural,0
51,0,Divorced,0,<1 year,100,0,Low,0,Full Coverage,0,2300,0,0,0,0,Agent,1,1,8,1,2,14,714,-50,Urban,100
32,0,Single,0,1-5 years,50,0,Low,0,Liability-Only,-200,2000,0,1,0,50,Online,17,0,9,2,3,99,608,50,Rural,0
36,0,Married,86,>5 years,0,1,Low,50,Full Coverage,0,2336,0,0,0,0,Agent,6,1,4,2,2,2,758,-50,Urban,100
25,0,Single,0,>5 years,0,0,Low,0,Liability-Only,-200,1950,0,0,0,0,Online,27,1,2,1,1,11,810,-50,Suburban,50
18,0,Single,0,1-5 years,50,1,Medium,100,Full Coverage,0,2300,1,0,0,50,Online,27,0,7,0,1,99,687,50,Rural,0
37,0,Single,0,>5 years,0,0,Low,0,Full Coverage,0,2200,0,0,0,0,Agent,14,1,2,2,1,4,702,-50,Urban,100
76,1,Married,86,<1 year,100,1,Low,50,Liability-Only,-200,2236,0,0,0,0,Online,14,0,1,1,3,99,737,-50,Urban,100
51,0,Widowed,0,<1 year,100,2,Low,100,Full Coverage,0,2400,0,0,0,0,Online,5,0,4,2,1,99,749,-50,Urban,100
39,0,Married,86,1-5 years,50,2,Low,100,Liability-Only,-200,2336,0,0,0,0,Agent,17,0,6,1,1,99,669,50,Urban,100
36,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Online,4,0,1,1,2,99,730,-50,Urban,100
40,0,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2300,0,0,0,0,Agent,9,0,4,2,2,99,662,50,Suburban,50
48,0,Single,0,<1 year,100,0,Low,0,Liability-Only,-200,2000,0,0,0,0,Agent,7,0,6,5,1,99,763,-50,Rural,0
22,0,Married,86,1-5 years,50,1,Low,50,Liability-Only,-200,2186,0,1,0,50,Online,5,1,8,1,2,3,669,50,Suburban,50
56,1,Divorced,0,1-5 years,50,0,Low,0,Full Coverage,0,2250,0,0,0,0,Online,14,0,2,2,1,99,668,50,Rural,0
50,0,Married,86,1-5 years,50,1,Medium,100,Liability-Only,-200,2186,0,1,0,50,Online,20,1,2,1,2,10,768,-50,Urban,100
50,0,Married,86,<1 year,100,0,High,0,Full Coverage,0,2336,0,1,0,50,Agent,13,1,5,1,1,6,715,-50,Urban,100
46,0,Married,86,>5 years,0,0,Low,0,Liability-Only,-200,2186,0,0,0,0,Agent,30,1,9,0,3,4,673,50,Urban,100
40,0,Single,0,1-5 years,50,1,Low,50,Full Coverage,0,2300,0,0,0,0,Agent,29,0,5,5,1,99,705,-50,Urban,100
50,0,Widowed,0,1-5 years,50,1,Low,50,Full Coverage,0,2350,0,0,0,0,Agent,17,0,4,3,2,99,689,50,Suburban,50
48,0,Divorced,0,<1 year,100,1,Medium,100,Full Coverage,0,2250,1,0,0,50,Online,23,0,4,2,1,99,745,-50,Rural,0
34,0,Widowed,0,<1 year,100,0,Low,0,Liability-Only,-200,2000,0,1,0,50,Online,2,1,6,3,3,2,728,-50,Suburban,50
31,0,Married,86,1-5 years,50,0,Low,0,Liability-Only,-200,2086,0,0,0,0,Agent,2,1,9,3,2,8,745,-50,Suburban,50
41,0,Married,86,>5 years,0,0,Low,0,Full Coverage,0,2186,0,0,0,0,Agent,6,1,2,1,3,10,721,-50,Rural,0
63,1,Single,0,1-5 years,50,0,Low,0,Full Coverage,0,2350,0,0,0,0,Online,7,0,8,1,2,99,698,50,Urban,100
